12530964,s0,T1,T11,,Mind bomb, is a ubiquitin ligase that is essential for efficient activation of Notch signaling by ,Delta,". 
Lateral inhibition, mediated by Notch signaling, leads to the selection of cells that are permitted to become neurons within domains defined by proneural gene expression. Reduced lateral inhibition in zebrafish mib mutant embryos permits too many neural progenitors to differentiate as neurons. Positional cloning of mib revealed that it is a gene in the Notch pathway that encodes a RING ubiquitin ligase. Mib interacts with the intracellular domain of Delta to promote its ubiquitylation and internalization. Cell transplantation studies suggest that mib function is essential in the signaling cell for efficient activation of Notch in neighboring cells. These observations support a model for Notch activation where the Delta-Notch interaction is followed by endocytosis of Delta and transendocytosis of the Notch extracellular domain by the signaling cell. This facilitates intramembranous cleavage of the remaining Notch receptor, release of the Notch intracellular fragment, and activation of target genes in neighboring cells. 
",Not_a_complex
12530964,s0,T1,T2,,Mind bomb, is a ubiquitin ligase that is essential for efficient activation of ,Notch," signaling by Delta. 
Lateral inhibition, mediated by Notch signaling, leads to the selection of cells that are permitted to become neurons within domains defined by proneural gene expression. Reduced lateral inhibition in zebrafish mib mutant embryos permits too many neural progenitors to differentiate as neurons. Positional cloning of mib revealed that it is a gene in the Notch pathway that encodes a RING ubiquitin ligase. Mib interacts with the intracellular domain of Delta to promote its ubiquitylation and internalization. Cell transplantation studies suggest that mib function is essential in the signaling cell for efficient activation of Notch in neighboring cells. These observations support a model for Notch activation where the Delta-Notch interaction is followed by endocytosis of Delta and transendocytosis of the Notch extracellular domain by the signaling cell. This facilitates intramembranous cleavage of the remaining Notch receptor, release of the Notch intracellular fragment, and activation of target genes in neighboring cells. 
",Not_a_complex
12530964,s0,T1,T20,,Mind bomb, is a ,ubiquitin ligase," that is essential for efficient activation of Notch signaling by Delta. 
Lateral inhibition, mediated by Notch signaling, leads to the selection of cells that are permitted to become neurons within domains defined by proneural gene expression. Reduced lateral inhibition in zebrafish mib mutant embryos permits too many neural progenitors to differentiate as neurons. Positional cloning of mib revealed that it is a gene in the Notch pathway that encodes a RING ubiquitin ligase. Mib interacts with the intracellular domain of Delta to promote its ubiquitylation and internalization. Cell transplantation studies suggest that mib function is essential in the signaling cell for efficient activation of Notch in neighboring cells. These observations support a model for Notch activation where the Delta-Notch interaction is followed by endocytosis of Delta and transendocytosis of the Notch extracellular domain by the signaling cell. This facilitates intramembranous cleavage of the remaining Notch receptor, release of the Notch intracellular fragment, and activation of target genes in neighboring cells. 
",Not_a_complex
12530964,s0,T20,T11,Mind bomb is a ,ubiquitin ligase, that is essential for efficient activation of Notch signaling by ,Delta,". 
Lateral inhibition, mediated by Notch signaling, leads to the selection of cells that are permitted to become neurons within domains defined by proneural gene expression. Reduced lateral inhibition in zebrafish mib mutant embryos permits too many neural progenitors to differentiate as neurons. Positional cloning of mib revealed that it is a gene in the Notch pathway that encodes a RING ubiquitin ligase. Mib interacts with the intracellular domain of Delta to promote its ubiquitylation and internalization. Cell transplantation studies suggest that mib function is essential in the signaling cell for efficient activation of Notch in neighboring cells. These observations support a model for Notch activation where the Delta-Notch interaction is followed by endocytosis of Delta and transendocytosis of the Notch extracellular domain by the signaling cell. This facilitates intramembranous cleavage of the remaining Notch receptor, release of the Notch intracellular fragment, and activation of target genes in neighboring cells. 
",Not_a_complex
12530964,s0,T2,T11,Mind bomb is a ubiquitin ligase that is essential for efficient activation of ,Notch, signaling by ,Delta,". 
Lateral inhibition, mediated by Notch signaling, leads to the selection of cells that are permitted to become neurons within domains defined by proneural gene expression. Reduced lateral inhibition in zebrafish mib mutant embryos permits too many neural progenitors to differentiate as neurons. Positional cloning of mib revealed that it is a gene in the Notch pathway that encodes a RING ubiquitin ligase. Mib interacts with the intracellular domain of Delta to promote its ubiquitylation and internalization. Cell transplantation studies suggest that mib function is essential in the signaling cell for efficient activation of Notch in neighboring cells. These observations support a model for Notch activation where the Delta-Notch interaction is followed by endocytosis of Delta and transendocytosis of the Notch extracellular domain by the signaling cell. This facilitates intramembranous cleavage of the remaining Notch receptor, release of the Notch intracellular fragment, and activation of target genes in neighboring cells. 
",Not_a_complex
12530964,s0,T20,T2,Mind bomb is a ,ubiquitin ligase, that is essential for efficient activation of ,Notch," signaling by Delta. 
Lateral inhibition, mediated by Notch signaling, leads to the selection of cells that are permitted to become neurons within domains defined by proneural gene expression. Reduced lateral inhibition in zebrafish mib mutant embryos permits too many neural progenitors to differentiate as neurons. Positional cloning of mib revealed that it is a gene in the Notch pathway that encodes a RING ubiquitin ligase. Mib interacts with the intracellular domain of Delta to promote its ubiquitylation and internalization. Cell transplantation studies suggest that mib function is essential in the signaling cell for efficient activation of Notch in neighboring cells. These observations support a model for Notch activation where the Delta-Notch interaction is followed by endocytosis of Delta and transendocytosis of the Notch extracellular domain by the signaling cell. This facilitates intramembranous cleavage of the remaining Notch receptor, release of the Notch intracellular fragment, and activation of target genes in neighboring cells. 
",Not_a_complex
12530964,s3,T14,T12,"Mind bomb is a ubiquitin ligase that is essential for efficient activation of Notch signaling by Delta. 
Lateral inhibition, mediated by Notch signaling, leads to the selection of cells that are permitted to become neurons within domains defined by proneural gene expression. Reduced lateral inhibition in zebrafish mib mutant embryos permits too many neural progenitors to differentiate as neurons. Positional cloning of ",mib, revealed that it is a gene in the Notch pathway that encodes a ,RING ubiquitin ligase,". Mib interacts with the intracellular domain of Delta to promote its ubiquitylation and internalization. Cell transplantation studies suggest that mib function is essential in the signaling cell for efficient activation of Notch in neighboring cells. These observations support a model for Notch activation where the Delta-Notch interaction is followed by endocytosis of Delta and transendocytosis of the Notch extracellular domain by the signaling cell. This facilitates intramembranous cleavage of the remaining Notch receptor, release of the Notch intracellular fragment, and activation of target genes in neighboring cells. 
",Not_a_complex
12530964,s3,T4,T12,"Mind bomb is a ubiquitin ligase that is essential for efficient activation of Notch signaling by Delta. 
Lateral inhibition, mediated by Notch signaling, leads to the selection of cells that are permitted to become neurons within domains defined by proneural gene expression. Reduced lateral inhibition in zebrafish mib mutant embryos permits too many neural progenitors to differentiate as neurons. Positional cloning of mib revealed that it is a gene in the ",Notch, pathway that encodes a ,RING ubiquitin ligase,". Mib interacts with the intracellular domain of Delta to promote its ubiquitylation and internalization. Cell transplantation studies suggest that mib function is essential in the signaling cell for efficient activation of Notch in neighboring cells. These observations support a model for Notch activation where the Delta-Notch interaction is followed by endocytosis of Delta and transendocytosis of the Notch extracellular domain by the signaling cell. This facilitates intramembranous cleavage of the remaining Notch receptor, release of the Notch intracellular fragment, and activation of target genes in neighboring cells. 
",Not_a_complex
12530964,s3,T14,T4,"Mind bomb is a ubiquitin ligase that is essential for efficient activation of Notch signaling by Delta. 
Lateral inhibition, mediated by Notch signaling, leads to the selection of cells that are permitted to become neurons within domains defined by proneural gene expression. Reduced lateral inhibition in zebrafish mib mutant embryos permits too many neural progenitors to differentiate as neurons. Positional cloning of ",mib, revealed that it is a gene in the ,Notch," pathway that encodes a RING ubiquitin ligase. Mib interacts with the intracellular domain of Delta to promote its ubiquitylation and internalization. Cell transplantation studies suggest that mib function is essential in the signaling cell for efficient activation of Notch in neighboring cells. These observations support a model for Notch activation where the Delta-Notch interaction is followed by endocytosis of Delta and transendocytosis of the Notch extracellular domain by the signaling cell. This facilitates intramembranous cleavage of the remaining Notch receptor, release of the Notch intracellular fragment, and activation of target genes in neighboring cells. 
",Not_a_complex
12530964,s4,T15,T16,"Mind bomb is a ubiquitin ligase that is essential for efficient activation of Notch signaling by Delta. 
Lateral inhibition, mediated by Notch signaling, leads to the selection of cells that are permitted to become neurons within domains defined by proneural gene expression. Reduced lateral inhibition in zebrafish mib mutant embryos permits too many neural progenitors to differentiate as neurons. Positional cloning of mib revealed that it is a gene in the Notch pathway that encodes a RING ubiquitin ligase. ",Mib, interacts with the intracellular domain of ,Delta," to promote its ubiquitylation and internalization. Cell transplantation studies suggest that mib function is essential in the signaling cell for efficient activation of Notch in neighboring cells. These observations support a model for Notch activation where the Delta-Notch interaction is followed by endocytosis of Delta and transendocytosis of the Notch extracellular domain by the signaling cell. This facilitates intramembranous cleavage of the remaining Notch receptor, release of the Notch intracellular fragment, and activation of target genes in neighboring cells. 
",Complex_formation
