24497193_44,s1,T11,T1,Because ,YHC1,-(1-189) mud1Delta cells grew about as well as ,YHC1," mud1Delta cells at all temperatures tested (Figure 11, bottom panel), whereas YHC1-(1-170) mud1Delta cells were inviable, we surmise that the Yhc1 segment from aa 171 to 189 is genetically redundant with the Mud1 subunit of the U1 snRNP.",Not_a_complex
24497193_44,s1,T1,T12,Because YHC1-(1-189) mud1Delta cells grew about as well as ,YHC1," mud1Delta cells at all temperatures tested (Figure 11, bottom panel), whereas ",YHC1,"-(1-170) mud1Delta cells were inviable, we surmise that the Yhc1 segment from aa 171 to 189 is genetically redundant with the Mud1 subunit of the U1 snRNP.",Not_a_complex
24497193_44,s1,T1,T2,Because YHC1-(1-189) mud1Delta cells grew about as well as ,YHC1," mud1Delta cells at all temperatures tested (Figure 11, bottom panel), whereas YHC1-(1-170) mud1Delta cells were inviable, we surmise that the ",Yhc1, segment from aa 171 to 189 is genetically redundant with the Mud1 subunit of the U1 snRNP.,Not_a_complex
24497193_44,s1,T1,T3,Because YHC1-(1-189) mud1Delta cells grew about as well as ,YHC1," mud1Delta cells at all temperatures tested (Figure 11, bottom panel), whereas YHC1-(1-170) mud1Delta cells were inviable, we surmise that the Yhc1 segment from aa 171 to 189 is genetically redundant with the ",Mud1, subunit of the U1 snRNP.,Not_a_complex
24497193_44,s1,T11,T12,Because ,YHC1,"-(1-189) mud1Delta cells grew about as well as YHC1 mud1Delta cells at all temperatures tested (Figure 11, bottom panel), whereas ",YHC1,"-(1-170) mud1Delta cells were inviable, we surmise that the Yhc1 segment from aa 171 to 189 is genetically redundant with the Mud1 subunit of the U1 snRNP.",Not_a_complex
24497193_44,s1,T11,T2,Because ,YHC1,"-(1-189) mud1Delta cells grew about as well as YHC1 mud1Delta cells at all temperatures tested (Figure 11, bottom panel), whereas YHC1-(1-170) mud1Delta cells were inviable, we surmise that the ",Yhc1, segment from aa 171 to 189 is genetically redundant with the Mud1 subunit of the U1 snRNP.,Not_a_complex
24497193_44,s1,T12,T2,"Because YHC1-(1-189) mud1Delta cells grew about as well as YHC1 mud1Delta cells at all temperatures tested (Figure 11, bottom panel), whereas ",YHC1,"-(1-170) mud1Delta cells were inviable, we surmise that the ",Yhc1, segment from aa 171 to 189 is genetically redundant with the Mud1 subunit of the U1 snRNP.,Not_a_complex
24497193_44,s1,T2,T3,"Because YHC1-(1-189) mud1Delta cells grew about as well as YHC1 mud1Delta cells at all temperatures tested (Figure 11, bottom panel), whereas YHC1-(1-170) mud1Delta cells were inviable, we surmise that the ",Yhc1, segment from aa 171 to 189 is genetically redundant with the ,Mud1, subunit of the U1 snRNP.,Not_a_complex
24497193_44,s1,T11,T3,Because ,YHC1,"-(1-189) mud1Delta cells grew about as well as YHC1 mud1Delta cells at all temperatures tested (Figure 11, bottom panel), whereas YHC1-(1-170) mud1Delta cells were inviable, we surmise that the Yhc1 segment from aa 171 to 189 is genetically redundant with the ",Mud1, subunit of the U1 snRNP.,Not_a_complex
24497193_44,s1,T12,T3,"Because YHC1-(1-189) mud1Delta cells grew about as well as YHC1 mud1Delta cells at all temperatures tested (Figure 11, bottom panel), whereas ",YHC1,"-(1-170) mud1Delta cells were inviable, we surmise that the Yhc1 segment from aa 171 to 189 is genetically redundant with the ",Mud1, subunit of the U1 snRNP.,Not_a_complex
24497193_44,s3,T14,T4,In comparison with the lethality of mud2Delta to ,YHC1,-(170) and the normal growth of ,YHC1," mud2Delta cells, this result signifies that the Yhc1 segment from aa 171 to 189 compensates for the absence of Mud2 at low temperatures, whereas the Yhc1 segment from aa 190 to 212 is required to buffer Mud2 loss at high temperatures.",Not_a_complex
