16624818,s0,T1,T2,Complementation of Saccharomyces cerevisiae ,coq7, mutants by mitochondrial targeting of the Escherichia coli ,UbiF," polypeptide: two functions of yeast Coq7 polypeptide in coenzyme Q biosynthesis. 
",Not_a_complex
16624818,s0,T1,T3,Complementation of Saccharomyces cerevisiae ,coq7, mutants by mitochondrial targeting of the Escherichia coli UbiF polypeptide: two functions of yeast ,Coq7," polypeptide in coenzyme Q biosynthesis. 
",Not_a_complex
16624818,s0,T2,T3,Complementation of Saccharomyces cerevisiae coq7 mutants by mitochondrial targeting of the Escherichia coli ,UbiF, polypeptide: two functions of yeast ,Coq7," polypeptide in coenzyme Q biosynthesis. 
",Not_a_complex
16624818,s2,T4,T5,"In the budding yeast Saccharomyces cerevisiae, Q biosynthesis requires nine Coq proteins (",Coq1,-,Coq9,).,Not_a_complex
16624818,s4,T7,T8,To define the functional roles of yeast ,Coq7p, we test whether Escherichia coli ,ubiF, can functionally substitute for yeast COQ7.,Not_a_complex
16624818,s4,T7,T9,To define the functional roles of yeast ,Coq7p, we test whether Escherichia coli ubiF can functionally substitute for yeast ,COQ7,.,Not_a_complex
16624818,s4,T8,T9,To define the functional roles of yeast Coq7p we test whether Escherichia coli ,ubiF, can functionally substitute for yeast ,COQ7,.,Not_a_complex
16624818,s5,T10,T11,The ,ubiF, gene encodes a ,flavin-dependent monooxygenase, that shares no homology to the Coq7 protein and is required for the final monooxygenase step of Q biosynthesis in E. coli.,Not_a_complex
16624818,s5,T10,T12,The ,ubiF, gene encodes a flavin-dependent monooxygenase that shares no homology to the ,Coq7, protein and is required for the final monooxygenase step of Q biosynthesis in E. coli.,Not_a_complex
16624818,s5,T11,T12,The ubiF gene encodes a ,flavin-dependent monooxygenase, that shares no homology to the ,Coq7, protein and is required for the final monooxygenase step of Q biosynthesis in E. coli.,Not_a_complex
16624818,s6,T13,T14,The ,ubiF, gene expressed at low copy restores growth of a ,coq7," point mutant (E194K) on medium containing a non-fermentable carbon source, but fails to rescue a coq7 null mutant.",Not_a_complex
16624818,s6,T13,T15,The ,ubiF," gene expressed at low copy restores growth of a coq7 point mutant (E194K) on medium containing a non-fermentable carbon source, but fails to rescue a ",coq7, null mutant.,Not_a_complex
16624818,s6,T14,T15,The ubiF gene expressed at low copy restores growth of a ,coq7," point mutant (E194K) on medium containing a non-fermentable carbon source, but fails to rescue a ",coq7, null mutant.,Not_a_complex
16624818,s8,T17,T18,We attribute the more efficient rescue of the ,coq7, point mutant to higher steady state levels of the ,Coq3,", Coq4, and Coq6 proteins and to the presence of demethoxyubiquinone, the substrate of UbiF. Coq7p co-migrates with the Coq3 and Coq4 polypeptides as a high molecular mass complex.",Not_a_complex
16624818,s8,T17,T19,We attribute the more efficient rescue of the ,coq7," point mutant to higher steady state levels of the Coq3, ",Coq4,", and Coq6 proteins and to the presence of demethoxyubiquinone, the substrate of UbiF. Coq7p co-migrates with the Coq3 and Coq4 polypeptides as a high molecular mass complex.",Not_a_complex
16624818,s8,T17,T20,We attribute the more efficient rescue of the ,coq7," point mutant to higher steady state levels of the Coq3, Coq4, and ",Coq6," proteins and to the presence of demethoxyubiquinone, the substrate of UbiF. Coq7p co-migrates with the Coq3 and Coq4 polypeptides as a high molecular mass complex.",Not_a_complex
16624818,s8,T17,T21,We attribute the more efficient rescue of the ,coq7," point mutant to higher steady state levels of the Coq3, Coq4, and Coq6 proteins and to the presence of demethoxyubiquinone, the substrate of ",UbiF,. Coq7p co-migrates with the Coq3 and Coq4 polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s8,T17,T22,We attribute the more efficient rescue of the ,coq7," point mutant to higher steady state levels of the Coq3, Coq4, and Coq6 proteins and to the presence of demethoxyubiquinone, the substrate of UbiF. ",Coq7p, co-migrates with the Coq3 and Coq4 polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s8,T17,T23,We attribute the more efficient rescue of the ,coq7," point mutant to higher steady state levels of the Coq3, Coq4, and Coq6 proteins and to the presence of demethoxyubiquinone, the substrate of UbiF. Coq7p co-migrates with the ",Coq3, and Coq4 polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s8,T17,T24,We attribute the more efficient rescue of the ,coq7," point mutant to higher steady state levels of the Coq3, Coq4, and Coq6 proteins and to the presence of demethoxyubiquinone, the substrate of UbiF. Coq7p co-migrates with the Coq3 and ",Coq4, polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s8,T18,T19,We attribute the more efficient rescue of the coq7 point mutant to higher steady state levels of the ,Coq3,", ",Coq4,", and Coq6 proteins and to the presence of demethoxyubiquinone, the substrate of UbiF. Coq7p co-migrates with the Coq3 and Coq4 polypeptides as a high molecular mass complex.",Not_a_complex
16624818,s8,T18,T20,We attribute the more efficient rescue of the coq7 point mutant to higher steady state levels of the ,Coq3,", Coq4, and ",Coq6," proteins and to the presence of demethoxyubiquinone, the substrate of UbiF. Coq7p co-migrates with the Coq3 and Coq4 polypeptides as a high molecular mass complex.",Not_a_complex
16624818,s8,T18,T21,We attribute the more efficient rescue of the coq7 point mutant to higher steady state levels of the ,Coq3,", Coq4, and Coq6 proteins and to the presence of demethoxyubiquinone, the substrate of ",UbiF,. Coq7p co-migrates with the Coq3 and Coq4 polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s8,T18,T22,We attribute the more efficient rescue of the coq7 point mutant to higher steady state levels of the ,Coq3,", Coq4, and Coq6 proteins and to the presence of demethoxyubiquinone, the substrate of UbiF. ",Coq7p, co-migrates with the Coq3 and Coq4 polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s8,T18,T23,We attribute the more efficient rescue of the coq7 point mutant to higher steady state levels of the ,Coq3,", Coq4, and Coq6 proteins and to the presence of demethoxyubiquinone, the substrate of UbiF. Coq7p co-migrates with the ",Coq3, and Coq4 polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s8,T18,T24,We attribute the more efficient rescue of the coq7 point mutant to higher steady state levels of the ,Coq3,", Coq4, and Coq6 proteins and to the presence of demethoxyubiquinone, the substrate of UbiF. Coq7p co-migrates with the Coq3 and ",Coq4, polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s8,T19,T20,"We attribute the more efficient rescue of the coq7 point mutant to higher steady state levels of the Coq3, ",Coq4,", and ",Coq6," proteins and to the presence of demethoxyubiquinone, the substrate of UbiF. Coq7p co-migrates with the Coq3 and Coq4 polypeptides as a high molecular mass complex.",Not_a_complex
16624818,s8,T19,T21,"We attribute the more efficient rescue of the coq7 point mutant to higher steady state levels of the Coq3, ",Coq4,", and Coq6 proteins and to the presence of demethoxyubiquinone, the substrate of ",UbiF,. Coq7p co-migrates with the Coq3 and Coq4 polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s8,T19,T22,"We attribute the more efficient rescue of the coq7 point mutant to higher steady state levels of the Coq3, ",Coq4,", and Coq6 proteins and to the presence of demethoxyubiquinone, the substrate of UbiF. ",Coq7p, co-migrates with the Coq3 and Coq4 polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s8,T19,T23,"We attribute the more efficient rescue of the coq7 point mutant to higher steady state levels of the Coq3, ",Coq4,", and Coq6 proteins and to the presence of demethoxyubiquinone, the substrate of UbiF. Coq7p co-migrates with the ",Coq3, and Coq4 polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s8,T19,T24,"We attribute the more efficient rescue of the coq7 point mutant to higher steady state levels of the Coq3, ",Coq4,", and Coq6 proteins and to the presence of demethoxyubiquinone, the substrate of UbiF. Coq7p co-migrates with the Coq3 and ",Coq4, polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s8,T20,T21,"We attribute the more efficient rescue of the coq7 point mutant to higher steady state levels of the Coq3, Coq4, and ",Coq6," proteins and to the presence of demethoxyubiquinone, the substrate of ",UbiF,. Coq7p co-migrates with the Coq3 and Coq4 polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s8,T20,T22,"We attribute the more efficient rescue of the coq7 point mutant to higher steady state levels of the Coq3, Coq4, and ",Coq6," proteins and to the presence of demethoxyubiquinone, the substrate of UbiF. ",Coq7p, co-migrates with the Coq3 and Coq4 polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s8,T20,T23,"We attribute the more efficient rescue of the coq7 point mutant to higher steady state levels of the Coq3, Coq4, and ",Coq6," proteins and to the presence of demethoxyubiquinone, the substrate of UbiF. Coq7p co-migrates with the ",Coq3, and Coq4 polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s8,T20,T24,"We attribute the more efficient rescue of the coq7 point mutant to higher steady state levels of the Coq3, Coq4, and ",Coq6," proteins and to the presence of demethoxyubiquinone, the substrate of UbiF. Coq7p co-migrates with the Coq3 and ",Coq4, polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s8,T21,T22,"We attribute the more efficient rescue of the coq7 point mutant to higher steady state levels of the Coq3, Coq4, and Coq6 proteins and to the presence of demethoxyubiquinone, the substrate of ",UbiF,. ,Coq7p, co-migrates with the Coq3 and Coq4 polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s8,T21,T23,"We attribute the more efficient rescue of the coq7 point mutant to higher steady state levels of the Coq3, Coq4, and Coq6 proteins and to the presence of demethoxyubiquinone, the substrate of ",UbiF,. Coq7p co-migrates with the ,Coq3, and Coq4 polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s8,T21,T24,"We attribute the more efficient rescue of the coq7 point mutant to higher steady state levels of the Coq3, Coq4, and Coq6 proteins and to the presence of demethoxyubiquinone, the substrate of ",UbiF,. Coq7p co-migrates with the Coq3 and ,Coq4, polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s8,T22,T23,"We attribute the more efficient rescue of the coq7 point mutant to higher steady state levels of the Coq3, Coq4, and Coq6 proteins and to the presence of demethoxyubiquinone, the substrate of UbiF. ",Coq7p, co-migrates with the ,Coq3, and Coq4 polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s8,T22,T24,"We attribute the more efficient rescue of the coq7 point mutant to higher steady state levels of the Coq3, Coq4, and Coq6 proteins and to the presence of demethoxyubiquinone, the substrate of UbiF. ",Coq7p, co-migrates with the Coq3 and ,Coq4, polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s8,T23,T24,"We attribute the more efficient rescue of the coq7 point mutant to higher steady state levels of the Coq3, Coq4, and Coq6 proteins and to the presence of demethoxyubiquinone, the substrate of UbiF. Coq7p co-migrates with the ",Coq3, and ,Coq4, polypeptides as a high molecular mass complex.,Not_a_complex
16624818,s9,T25,T26,Here we show that addition of Q to the growth media also stabilizes the ,Coq3, and ,Coq4, polypeptides in the coq7 null mutant.,Not_a_complex
16624818,s9,T25,T27,Here we show that addition of Q to the growth media also stabilizes the ,Coq3, and Coq4 polypeptides in the ,coq7, null mutant.,Not_a_complex
16624818,s9,T26,T27,Here we show that addition of Q to the growth media also stabilizes the Coq3 and ,Coq4, polypeptides in the ,coq7, null mutant.,Not_a_complex
