21296186_39,s0,T1,T2,Steady state levels of ,Coq9p, mirrored those of ,Coq7p,", and thus it is tempting to speculate that Coq8 may also phosphorylate Coq9p.",Not_a_complex
21296186_39,s0,T1,T3,Steady state levels of ,Coq9p," mirrored those of Coq7p, and thus it is tempting to speculate that ",Coq8, may also phosphorylate Coq9p.,Not_a_complex
21296186_39,s0,T1,T4,Steady state levels of ,Coq9p," mirrored those of Coq7p, and thus it is tempting to speculate that Coq8 may also phosphorylate ",Coq9p,.,Not_a_complex
21296186_39,s0,T2,T3,Steady state levels of Coq9p mirrored those of ,Coq7p,", and thus it is tempting to speculate that ",Coq8, may also phosphorylate Coq9p.,Not_a_complex
21296186_39,s0,T2,T4,Steady state levels of Coq9p mirrored those of ,Coq7p,", and thus it is tempting to speculate that Coq8 may also phosphorylate ",Coq9p,.,Not_a_complex
21296186_39,s0,T3,T4,"Steady state levels of Coq9p mirrored those of Coq7p, and thus it is tempting to speculate that ",Coq8, may also phosphorylate ,Coq9p,.,Not_a_complex
21296186_39,s3,T6,T7,The amino terminal sequence of ,Coq9, residue is not conserved in metazoan ,Coq9," sequences, and it is interesting that T34 may be located within the predicted mitochondrial leader sequence of yeast Coq9p (Table 1S).",Not_a_complex
21296186_39,s3,T6,T8,The amino terminal sequence of ,Coq9," residue is not conserved in metazoan Coq9 sequences, and it is interesting that T34 may be located within the predicted mitochondrial leader sequence of yeast ",Coq9p, (Table 1S).,Not_a_complex
21296186_39,s3,T7,T8,The amino terminal sequence of Coq9 residue is not conserved in metazoan ,Coq9," sequences, and it is interesting that T34 may be located within the predicted mitochondrial leader sequence of yeast ",Coq9p, (Table 1S).,Not_a_complex
21296186_39,s4,T10,T11,Overexpression of COQ8 is known to suppress a nonsense (Q151STOP) ,coq9," mutant, and was attributed to a detectable presence of ",Coq9p, due to read-through.,Not_a_complex
21296186_39,s4,T9,T10,Overexpression of ,COQ8, is known to suppress a nonsense (Q151STOP) ,coq9," mutant, and was attributed to a detectable presence of Coq9p due to read-through.",Not_a_complex
21296186_39,s4,T9,T11,Overexpression of ,COQ8," is known to suppress a nonsense (Q151STOP) coq9 mutant, and was attributed to a detectable presence of ",Coq9p, due to read-through.,Not_a_complex
21296186_39,s5,T12,T13,Overexpression of ,COQ8, restores the steady state level of ,Coq4p," in several coq null mutants, but not in the coq9 null mutant.",Not_a_complex
21296186_39,s5,T12,T14,Overexpression of ,COQ8," restores the steady state level of Coq4p in several coq null mutants, but not in the ",coq9, null mutant.,Not_a_complex
21296186_39,s5,T12,T26,Overexpression of ,COQ8, restores the steady state level of Coq4p in several ,coq," null mutants, but not in the coq9 null mutant.",Not_a_complex
21296186_39,s5,T13,T14,Overexpression of COQ8 restores the steady state level of ,Coq4p," in several coq null mutants, but not in the ",coq9, null mutant.,Not_a_complex
21296186_39,s5,T13,T26,Overexpression of COQ8 restores the steady state level of ,Coq4p, in several ,coq," null mutants, but not in the coq9 null mutant.",Not_a_complex
21296186_39,s5,T26,T14,Overexpression of COQ8 restores the steady state level of Coq4p in several ,coq," null mutants, but not in the ",coq9, null mutant.,Not_a_complex
21296186_39,s6,T19,T20,"While experiments have not revealed a complex between Coq8p and Coq9p, it is certainly possible that phosphorylation of Coq9p by Coq8p might be necessary to form a Q biosynthetic complex and so preserve the otherwise unstable Coq polypeptides known to interact with ",Coq9,", including ",Coq4p,", Coq6p, and Coq7p.",Complex_formation
21296186_39,s6,T19,T21,"While experiments have not revealed a complex between Coq8p and Coq9p, it is certainly possible that phosphorylation of Coq9p by Coq8p might be necessary to form a Q biosynthetic complex and so preserve the otherwise unstable Coq polypeptides known to interact with ",Coq9,", including Coq4p, ",Coq6p,", and Coq7p.",Complex_formation
21296186_39,s6,T19,T22,"While experiments have not revealed a complex between Coq8p and Coq9p, it is certainly possible that phosphorylation of Coq9p by Coq8p might be necessary to form a Q biosynthetic complex and so preserve the otherwise unstable Coq polypeptides known to interact with ",Coq9,", including Coq4p, Coq6p, and ",Coq7p,.,Complex_formation
21296186_39,s6,T27,T19,"While experiments have not revealed a complex between Coq8p and Coq9p, it is certainly possible that phosphorylation of Coq9p by Coq8p might be necessary to form a Q biosynthetic complex and so preserve the otherwise unstable ",Coq, polypeptides known to interact with ,Coq9,", including Coq4p, Coq6p, and Coq7p.",Complex_formation
21296186_39,s6,T15,T16,While experiments have not revealed a complex between ,Coq8p, and ,Coq9p,", it is certainly possible that phosphorylation of Coq9p by Coq8p might be necessary to form a Q biosynthetic complex and so preserve the otherwise unstable Coq polypeptides known to interact with Coq9, including Coq4p, Coq6p, and Coq7p.",Not_a_complex
21296186_39,s6,T15,T17,While experiments have not revealed a complex between ,Coq8p," and Coq9p, it is certainly possible that phosphorylation of ",Coq9p," by Coq8p might be necessary to form a Q biosynthetic complex and so preserve the otherwise unstable Coq polypeptides known to interact with Coq9, including Coq4p, Coq6p, and Coq7p.",Not_a_complex
21296186_39,s6,T15,T18,While experiments have not revealed a complex between ,Coq8p," and Coq9p, it is certainly possible that phosphorylation of Coq9p by ",Coq8p," might be necessary to form a Q biosynthetic complex and so preserve the otherwise unstable Coq polypeptides known to interact with Coq9, including Coq4p, Coq6p, and Coq7p.",Not_a_complex
21296186_39,s6,T15,T19,While experiments have not revealed a complex between ,Coq8p," and Coq9p, it is certainly possible that phosphorylation of Coq9p by Coq8p might be necessary to form a Q biosynthetic complex and so preserve the otherwise unstable Coq polypeptides known to interact with ",Coq9,", including Coq4p, Coq6p, and Coq7p.",Not_a_complex
21296186_39,s6,T15,T20,While experiments have not revealed a complex between ,Coq8p," and Coq9p, it is certainly possible that phosphorylation of Coq9p by Coq8p might be necessary to form a Q biosynthetic complex and so preserve the otherwise unstable Coq polypeptides known to interact with Coq9, including ",Coq4p,", Coq6p, and Coq7p.",Not_a_complex
21296186_39,s6,T15,T21,While experiments have not revealed a complex between ,Coq8p," and Coq9p, it is certainly possible that phosphorylation of Coq9p by Coq8p might be necessary to form a Q biosynthetic complex and so preserve the otherwise unstable Coq polypeptides known to interact with Coq9, including Coq4p, ",Coq6p,", and Coq7p.",Not_a_complex
21296186_39,s6,T15,T22,While experiments have not revealed a complex between ,Coq8p," and Coq9p, it is certainly possible that phosphorylation of Coq9p by Coq8p might be necessary to form a Q biosynthetic complex and so preserve the otherwise unstable Coq polypeptides known to interact with Coq9, including Coq4p, Coq6p, and ",Coq7p,.,Not_a_complex
21296186_39,s6,T15,T27,While experiments have not revealed a complex between ,Coq8p," and Coq9p, it is certainly possible that phosphorylation of Coq9p by Coq8p might be necessary to form a Q biosynthetic complex and so preserve the otherwise unstable ",Coq," polypeptides known to interact with Coq9, including Coq4p, Coq6p, and Coq7p.",Not_a_complex
21296186_39,s6,T16,T17,While experiments have not revealed a complex between Coq8p and ,Coq9p,", it is certainly possible that phosphorylation of ",Coq9p," by Coq8p might be necessary to form a Q biosynthetic complex and so preserve the otherwise unstable Coq polypeptides known to interact with Coq9, including Coq4p, Coq6p, and Coq7p.",Not_a_complex
21296186_39,s6,T16,T18,While experiments have not revealed a complex between Coq8p and ,Coq9p,", it is certainly possible that phosphorylation of Coq9p by ",Coq8p," might be necessary to form a Q biosynthetic complex and so preserve the otherwise unstable Coq polypeptides known to interact with Coq9, including Coq4p, Coq6p, and Coq7p.",Not_a_complex
21296186_39,s6,T16,T19,While experiments have not revealed a complex between Coq8p and ,Coq9p,", it is certainly possible that phosphorylation of Coq9p by Coq8p might be necessary to form a Q biosynthetic complex and so preserve the otherwise unstable Coq polypeptides known to interact with ",Coq9,", including Coq4p, Coq6p, and Coq7p.",Not_a_complex
