19363486_7,s0,T1,T2,Since ,Cdk5," is essential for neuronal migration, the physiological role of ",Cdk5,-mediated talin phosphorylation was assessed in neuroblastoma SH-SY5Y cells.,Not_a_complex
19363486_7,s0,T1,T4,Since ,Cdk5," is essential for neuronal migration, the physiological role of Cdk5-mediated ",talin, phosphorylation was assessed in neuroblastoma SH-SY5Y cells.,Not_a_complex
19363486_7,s0,T2,T4,"Since Cdk5 is essential for neuronal migration, the physiological role of ",Cdk5,-mediated ,talin, phosphorylation was assessed in neuroblastoma SH-SY5Y cells.,Not_a_complex
19363486_7,s1,T6,T5,We transfected these cells with ,EGFP,-,talin,", -talS425A or -talS425D, and cell migration was measured using transwell assays.",Not_a_complex
19363486_7,s1,T5,T7,We transfected these cells with EGFP-,talin,", -",talS425A," or -talS425D, and cell migration was measured using transwell assays.",Not_a_complex
19363486_7,s1,T5,T8,We transfected these cells with EGFP-,talin,", -talS425A or -",talS425D,", and cell migration was measured using transwell assays.",Not_a_complex
19363486_7,s1,T6,T7,We transfected these cells with ,EGFP,"-talin, -",talS425A," or -talS425D, and cell migration was measured using transwell assays.",Not_a_complex
19363486_7,s1,T6,T8,We transfected these cells with ,EGFP,"-talin, -talS425A or -",talS425D,", and cell migration was measured using transwell assays.",Not_a_complex
19363486_7,s1,T7,T8,"We transfected these cells with EGFP-talin, -",talS425A, or -,talS425D,", and cell migration was measured using transwell assays.",Not_a_complex
19363486_7,s2,T10,T11,Whereas the migration of cells expressing EGFP- ,talin, was stimulated by ,PDGF,", expression of EGFP-talS425A or EGFP-talS425D markedly retarded PDGF-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T10,T12,Whereas the migration of cells expressing EGFP- ,talin," was stimulated by PDGF, expression of ",EGFP,"-talS425A or EGFP-talS425D markedly retarded PDGF-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T10,T13,Whereas the migration of cells expressing EGFP- ,talin," was stimulated by PDGF, expression of EGFP-",talS425A," or EGFP-talS425D markedly retarded PDGF-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T10,T14,Whereas the migration of cells expressing EGFP- ,talin," was stimulated by PDGF, expression of EGFP-talS425A or ",EGFP,"-talS425D markedly retarded PDGF-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T10,T15,Whereas the migration of cells expressing EGFP- ,talin," was stimulated by PDGF, expression of EGFP-talS425A or EGFP-",talS425D," markedly retarded PDGF-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T10,T16,Whereas the migration of cells expressing EGFP- ,talin," was stimulated by PDGF, expression of EGFP-talS425A or EGFP-talS425D markedly retarded ",PDGF,"-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T11,T12,Whereas the migration of cells expressing EGFP- talin was stimulated by ,PDGF,", expression of ",EGFP,"-talS425A or EGFP-talS425D markedly retarded PDGF-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T11,T13,Whereas the migration of cells expressing EGFP- talin was stimulated by ,PDGF,", expression of EGFP-",talS425A," or EGFP-talS425D markedly retarded PDGF-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T11,T14,Whereas the migration of cells expressing EGFP- talin was stimulated by ,PDGF,", expression of EGFP-talS425A or ",EGFP,"-talS425D markedly retarded PDGF-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T11,T15,Whereas the migration of cells expressing EGFP- talin was stimulated by ,PDGF,", expression of EGFP-talS425A or EGFP-",talS425D," markedly retarded PDGF-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T11,T16,Whereas the migration of cells expressing EGFP- talin was stimulated by ,PDGF,", expression of EGFP-talS425A or EGFP-talS425D markedly retarded ",PDGF,"-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T12,T13,"Whereas the migration of cells expressing EGFP- talin was stimulated by PDGF, expression of ",EGFP,-,talS425A," or EGFP-talS425D markedly retarded PDGF-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T12,T14,"Whereas the migration of cells expressing EGFP- talin was stimulated by PDGF, expression of ",EGFP,-talS425A or ,EGFP,"-talS425D markedly retarded PDGF-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T12,T15,"Whereas the migration of cells expressing EGFP- talin was stimulated by PDGF, expression of ",EGFP,-talS425A or EGFP-,talS425D," markedly retarded PDGF-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T12,T16,"Whereas the migration of cells expressing EGFP- talin was stimulated by PDGF, expression of ",EGFP,-talS425A or EGFP-talS425D markedly retarded ,PDGF,"-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T13,T14,"Whereas the migration of cells expressing EGFP- talin was stimulated by PDGF, expression of EGFP-",talS425A, or ,EGFP,"-talS425D markedly retarded PDGF-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T13,T15,"Whereas the migration of cells expressing EGFP- talin was stimulated by PDGF, expression of EGFP-",talS425A, or EGFP-,talS425D," markedly retarded PDGF-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T13,T16,"Whereas the migration of cells expressing EGFP- talin was stimulated by PDGF, expression of EGFP-",talS425A, or EGFP-talS425D markedly retarded ,PDGF,"-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T14,T15,"Whereas the migration of cells expressing EGFP- talin was stimulated by PDGF, expression of EGFP-talS425A or ",EGFP,-,talS425D," markedly retarded PDGF-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T14,T16,"Whereas the migration of cells expressing EGFP- talin was stimulated by PDGF, expression of EGFP-talS425A or ",EGFP,-talS425D markedly retarded ,PDGF,"-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T15,T16,"Whereas the migration of cells expressing EGFP- talin was stimulated by PDGF, expression of EGFP-talS425A or EGFP-",talS425D, markedly retarded ,PDGF,"-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T9,T10,Whereas the migration of cells expressing ,EGFP,- ,talin," was stimulated by PDGF, expression of EGFP-talS425A or EGFP-talS425D markedly retarded PDGF-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T9,T11,Whereas the migration of cells expressing ,EGFP,- talin was stimulated by ,PDGF,", expression of EGFP-talS425A or EGFP-talS425D markedly retarded PDGF-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T9,T12,Whereas the migration of cells expressing ,EGFP,"- talin was stimulated by PDGF, expression of ",EGFP,"-talS425A or EGFP-talS425D markedly retarded PDGF-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
19363486_7,s2,T9,T13,Whereas the migration of cells expressing ,EGFP,"- talin was stimulated by PDGF, expression of EGFP-",talS425A," or EGFP-talS425D markedly retarded PDGF-induced cell migration (Fig. 2a; Supplementary Information, Fig. S2a).",Not_a_complex
