21700227_24,s0,T1,T2,The increase in Pho2 and ,Pho4, binding after Pi starvation (recruitment) is calculated using the following equation: taking ,Pho4," as an example, EnrichmentNo/High = (Pho4ChIP No / Pho4Input No) / (Pho4ChIP High / Pho4Input High).",Not_a_complex
21700227_24,s0,T8,T1,The increase in ,Pho2, and ,Pho4," binding after Pi starvation (recruitment) is calculated using the following equation: taking Pho4 as an example, EnrichmentNo/High = (Pho4ChIP No / Pho4Input No) / (Pho4ChIP High / Pho4Input High).",Not_a_complex
21700227_24,s0,T8,T2,The increase in ,Pho2, and Pho4 binding after Pi starvation (recruitment) is calculated using the following equation: taking ,Pho4," as an example, EnrichmentNo/High = (Pho4ChIP No / Pho4Input No) / (Pho4ChIP High / Pho4Input High).",Not_a_complex
21700227_24,s1,T13,T3,"To estimate a threshold to define transcription factor recruitment, we calculated the mean and standard deviation of ",Pho2, and ,Pho4," recruitment at all consensus 'CACGTG' sites, excluding the sites at regulatory regions of Pho4 regulated genes (functional binding sites).",Not_a_complex
21700227_24,s1,T3,T4,"To estimate a threshold to define transcription factor recruitment, we calculated the mean and standard deviation of Pho2 and ",Pho4," recruitment at all consensus 'CACGTG' sites, excluding the sites at regulatory regions of ",Pho4, regulated genes (functional binding sites).,Not_a_complex
21700227_24,s1,T13,T4,"To estimate a threshold to define transcription factor recruitment, we calculated the mean and standard deviation of ",Pho2," and Pho4 recruitment at all consensus 'CACGTG' sites, excluding the sites at regulatory regions of ",Pho4, regulated genes (functional binding sites).,Not_a_complex
21700227_24,s3,T14,T5,23 of 28 sites showing recruitment of both ,Pho2, and ,Pho4," are regulated by both factors (p = 8.1 x 10-16, Fisher's exact test), and none of the Pho4-only recruited sites is regulated by Pho4 (p = 0.003, Fisher's exact test).
",Not_a_complex
21700227_24,s3,T5,T6,23 of 28 sites showing recruitment of both Pho2 and ,Pho4," are regulated by both factors (p = 8.1 x 10-16, Fisher's exact test), and none of the ",Pho4,"-only recruited sites is regulated by Pho4 (p = 0.003, Fisher's exact test).
",Not_a_complex
21700227_24,s3,T5,T7,23 of 28 sites showing recruitment of both Pho2 and ,Pho4," are regulated by both factors (p = 8.1 x 10-16, Fisher's exact test), and none of the Pho4-only recruited sites is regulated by ",Pho4," (p = 0.003, Fisher's exact test).
",Not_a_complex
21700227_24,s3,T14,T6,23 of 28 sites showing recruitment of both ,Pho2," and Pho4 are regulated by both factors (p = 8.1 x 10-16, Fisher's exact test), and none of the ",Pho4,"-only recruited sites is regulated by Pho4 (p = 0.003, Fisher's exact test).
",Not_a_complex
21700227_24,s3,T6,T7,"23 of 28 sites showing recruitment of both Pho2 and Pho4 are regulated by both factors (p = 8.1 x 10-16, Fisher's exact test), and none of the ",Pho4,-only recruited sites is regulated by ,Pho4," (p = 0.003, Fisher's exact test).
",Not_a_complex
21700227_24,s3,T14,T7,23 of 28 sites showing recruitment of both ,Pho2," and Pho4 are regulated by both factors (p = 8.1 x 10-16, Fisher's exact test), and none of the Pho4-only recruited sites is regulated by ",Pho4," (p = 0.003, Fisher's exact test).
",Not_a_complex
